,l,K,res_frac,t_10
24394,0.00027049597304631344,7934096665.797492,0.999665671974866,1.0541666666666667
24395,0.00027049597304631344,8309941949.353387,0.9996811772103642,1.0541666666666667
24396,0.00027049597304631344,8703591361.485184,0.9996959797082592,1.0541666666666667
24397,0.00027049597304631344,9115888299.750837,0.9997101147367365,1.0541666666666667
24398,0.00027049597304631344,9547716114.208065,0.9997236049090514,1.0541666666666667
24399,0.00027049597304631344,10000000000.0,0.9997364828097108,1.0541666666666667
24400,0.0002833096101839324,1000000.0,2.2231196225331704e-09,0.0
24401,0.0002833096101839324,1047370.8979594486,2.3435213496268665e-09,0.0
24402,0.0002833096101839324,1096985.797892384,2.4772729349656546e-09,0.0
24403,0.0002833096101839324,1148951.0001873085,2.6284113594299475e-09,0.0
24404,0.0002833096101839324,1203377.8407775904,2.7990960397933836e-09,0.0
24405,0.0002833096101839324,1260382.9296797274,2.993293321167693e-09,0.0
24406,0.0002833096101839324,1320088.4008314167,3.2157895893987643e-09,0.0
24407,0.0002833096101839324,1382622.1737646563,3.472731761773271e-09,0.0
24408,0.0002833096101839324,1448118.227674533,3.771970783820793e-09,0.0
24409,0.0002833096101839324,1516716.888470924,4.123412307328345e-09,0.0
24410,0.0002833096101839324,1588565.1294280528,4.5428065286898654e-09,0.0
24411,0.0002833096101839324,1663816.8860761274,5.048134729640745e-09,0.0
24412,0.0002833096101839324,1742633.3860096508,5.666816798397476e-09,0.0
24413,0.0002833096101839324,1825183.4943190424,6.444272297862445e-09,0.0
24414,0.0002833096101839324,1911644.0753857037,7.4333475851079434e-09,0.0
24415,0.0002833096101839324,2002200.3718155844,8.743864425881668e-09,0.0
24416,0.0002833096101839324,2097046.4013232307,1.054339120483423e-08,0.0
24417,0.0002833096101839324,2196385.372416547,1.3153801649438732e-08,0.0
24418,0.0002833096101839324,2300430.1197729167,1.7229608065666785e-08,0.0
24419,0.0002833096101839324,2409403.560239527,2.4336745559179083e-08,0.0
24420,0.0002833096101839324,2523539.170434766,3.8829777423883526e-08,0.0
24421,0.0002833096101839324,2643081.486974103,7.541660104636927e-08,0.0
24422,0.0002833096101839324,2768286.6303920667,1.9431915085214524e-07,0.0
24423,0.0002833096101839324,2899422.8538828753,6.916374674022181e-07,0.0
24424,0.0002833096101839324,3036771.1180354604,3.2464723117619207e-06,0.0
24425,0.0002833096101839324,3180625.692794119,1.9580254786574253e-05,0.0
24426,0.0002833096101839324,3331294.78793467,0.0001464177191121281,0.0
24427,0.0002833096101839324,3489101.2134067737,0.0015386014063709461,0.0
24428,0.0002833096101839324,3654383.0709572546,0.035921053937587384,0.0
24429,0.0002833096101839324,3827494.478516315,0.45416601622031244,89.82916666666667
24430,0.0002833096101839324,4008806.328898465,0.6769303690593905,77.97083333333333
24431,0.0002833096101839324,4198707.084443905,0.725912806417141,68.62916666666666
24432,0.0002833096101839324,4397603.609302721,0.7571422882380974,60.925
24433,0.0002833096101839324,4605922.041145104,0.782960244543168,54.68333333333333
24434,0.0002833096101839324,4824108.704165374,0.8049383720164331,49.40833333333333
24435,0.0002833096101839324,5052631.06533568,0.8237339097555422,44.895833333333336
24436,0.0002833096101839324,5291978.7359584365,0.8398310649467992,41.0
24437,0.0002833096101839324,5542664.520663107,0.8536226693889999,37.6625
24438,0.0002833096101839324,5805225.516094896,0.8654551501905055,34.68333333333333
24439,0.0002833096101839324,6080224.261649427,0.8756259613597672,32.00833333333333
24440,0.0002833096101839324,6368249.944718586,0.8843713400475358,29.704166666666666
24441,0.0002833096101839324,6669919.663030115,0.891885045268627,27.599999999999998
24442,0.0002833096101839324,6985879.746785249,0.8983194224198326,25.7
24443,0.0002833096101839324,7316807.143427192,0.9038562742623457,23.966666666666665
24444,0.0002833096101839324,7663410.8680074625,0.9086007058048468,22.441666666666666
24445,0.0002833096101839324,8026433.522257173,0.9126571500046191,20.9625
24446,0.0002833096101839324,8406652.885618316,0.9161283431756961,19.679166666666667
24447,0.0002833096101839324,8804883.581643464,0.9190904866443801,18.47083333333333
24448,0.0002833096101839324,9221978.823334321,0.9216005052646604,17.34583333333333
24449,0.0002833096101839324,9658832.241158709,0.9237270418165713,16.3125
24450,0.0002833096101839324,10116379.79766207,0.9255294159334632,15.354166666666666
24451,0.0002833096101839324,10595601.792776149,0.9270645335877461,14.470833333333333
24452,0.0002833096101839324,11097524.964120721,0.9284003832387034,13.6375
24453,0.0002833096101839324,11623224.686798519,0.9295989128637735,12.845833333333333
24454,0.0002833096101839324,12173827.277396621,0.9307362829364223,12.116666666666667
24455,0.0002833096101839324,12750512.407130128,0.9319041021192993,11.475
24456,0.0002833096101839324,13354515.629298974,0.9332093731610673,10.825
24457,0.0002833096101839324,13987131.026472386,0.9347035020675082,10.241666666666667
24458,0.0002833096101839324,14649713.983072849,0.9365816064804738,9.7
24459,0.0002833096101839324,15343684.089300131,0.9388814720535248,9.166666666666666
24460,0.0002833096101839324,16070528.182616385,0.9416397558078945,8.695833333333333
24461,0.0002833096101839324,16831803.53330955,0.9448383315424594,8.233333333333333
24462,0.0002833096101839324,17629141.180959478,0.9485090837301158,7.804166666666666
24463,0.0002833096101839324,18464249.428955425,0.9523553603792521,7.416666666666667
24464,0.0002833096101839324,19338917.50455232,0.95625470312561,6.995833333333334
24465,0.0002833096101839324,20255019.392306663,0.9600248473779392,6.683333333333334
24466,0.0002833096101839324,21214517.84910628,0.9634880079474489,6.354166666666667
24467,0.0002833096101839324,22219468.60939524,0.9665355165039251,5.991666666666666
24468,0.0002833096101839324,23272024.78960407,0.969009374224251,5.7375
24469,0.0002833096101839324,24374441.501222216,0.9709285641880503,5.470833333333333
24470,0.0002833096101839324,25529080.682395164,0.9723841886538541,5.191666666666666
24471,0.0002833096101839324,26738416.15839944,0.9734652502016403,4.929166666666666
24472,0.0002833096101839324,28005038.94183631,0.9742053623849758,4.725
24473,0.0002833096101839324,29331662.783900425,0.9746625724349444,4.520833333333333
24474,0.0002833096101839324,30721129.98861759,0.9749423058327011,4.3125
24475,0.0002833096101839324,32176417.502507355,0.9751045847927902,4.095833333333333
24476,0.0002833096101839324,33700643.292719245,0.9752007179582077,3.9166666666666665
24477,0.0002833096101839324,35297073.027306505,0.9752537526988841,3.7708333333333335
24478,0.0002833096101839324,36969127.071950324,0.9752866509695218,3.6166666666666667
24479,0.0002833096101839324,38720387.81812557,0.9753062235678304,3.466666666666667
24480,0.0002833096101839324,40554607.35840828,0.9753175486599999,3.3208333333333333
24481,0.0002833096101839324,42475715.525368944,0.9753276860535448,3.175
24482,0.0002833096101839324,44487828.311275855,0.9753365932640938,3.0375
24483,0.0002833096101839324,46595256.68664687,0.9753440950485575,2.9291666666666667
24484,0.0002833096101839324,48802515.836544335,0.975354072853624,2.841666666666667
24485,0.0002833096101839324,51114334.83440165,0.975362022631121,2.7541666666666664
24486,0.0002833096101839324,53535666.77410719,0.9753737911050623,2.6666666666666665
24487,0.0002833096101839324,56071699.38205458,0.9753878319942477,2.5791666666666666
24488,0.0002833096101839324,58727866.13189489,0.9754024908036129,2.495833333333333
24489,0.0002833096101839324,61509857.88580504,0.9754196074275162,2.4125
24490,0.0002833096101839324,64423635.0872137,0.9754397704133932,2.3291666666666666
24491,0.0002833096101839324,67475440.53110686,0.9754617743686763,2.2541666666666664
24492,0.0002833096101839324,70671812.73927492,0.9754848737571816,2.175
24493,0.0002833096101839324,74019599.96915652,0.9755073116423717,2.1041666666666665
24494,0.0002833096101839324,77525974.88629465,0.9755314628493519,2.033333333333333
24495,0.0002833096101839324,81198449.93184009,0.975558154762363,1.9749999999999999
24496,0.0002833096101839324,85044893.41802669,0.9755821635181585,1.9333333333333333
24497,0.0002833096101839324,89073546.3861044,0.9756017323698887,1.8916666666666666
24498,0.0002833096101839324,93293040.26284696,0.9756258332468936,1.8541666666666667
24499,0.0002833096101839324,97712415.35346502,0.9756523482954409,1.8166666666666667
24500,0.0002833096101839324,102341140.21054527,0.9756769909240118,1.7833333333333332
24501,0.0002833096101839324,107189131.92051265,0.975702654593716,1.75
24502,0.0002833096101839324,112266777.35108113,0.9757309250998631,1.7166666666666666
24503,0.0002833096101839324,117584955.40521581,0.975751140629395,1.6833333333333333
24504,0.0002833096101839324,123155060.32928261,0.975769872368583,1.6541666666666666
24505,0.0002833096101839324,128989026.1253308,0.9757930346064239,1.6291666666666667
24506,0.0002833096101839324,135099352.1198025,0.9758133096824895,1.6
24507,0.0002833096101839324,141499129.74345788,0.9758351596169356,1.575
24508,0.0002833096101839324,148202070.57988602,0.9758570745353711,1.55
24509,0.0002833096101839324,155222535.7427048,0.9758788115462143,1.5291666666666666
24510,0.0002833096101839324,162575566.64437935,0.975901310419374,1.5083333333333333
24511,0.0002833096101839324,170276917.2225898,0.9759264557549652,1.4875
